University,Unemployment rate(%),Underemployment rate(%),Average Annual Salary (HK$'000),
The Chinese University of Hong Kong,3.3,3.9,372,
The Hong Kong Polytechnic University,2.1,3.7,274,
Lingnan University,2.5,4.3,225,
The Hong Kong University of Science and Technology,2.2,4.1,321,
The Education University of Hong Kong,2.8,5.6,348,
Hong Kong Baptist University,1.9,2.2,237,
City University of Hong Kong,1.5,1.5,268,
The University of Hong Kong,1.1,5.4,371,
Total,2.1,3.7,303,
,,,,
,,,,
,,,,
,,,,